Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AL1	BA1	CT1	GL1	JE1	JH1	KM1	KS1	RZ1	SM1	TA1
25	SS	19.2	18.01553	0.50298	a	0.26235	34.79	18.73	0	1	0	1	0	0	0	0	0	0	0
26	SS	25.4	19.76055	0.49113	b	0.49176	34.29	21.25	0	0	0	1	0	0	0	0	0	0	0
27	SS	21	18.57433	0.50063	c	0.32208	34.19	23.57	0	1	0	0	1	1	0	0	0	0	0
28	SS	15.4	16.64027	0.50085	c	0.15524	34.29	23.81	1	1	0	1	1	1	0	0	1	0	0
29	SS	10.6	14.31111	0.45756	c	0.05779	34.09	25.75	0	1	1	1	1	0	1	0	0	1	1
30	SS	16.6	17.10817	0.50303	c	0.18625	33.99	25.93	0	1	1	0	0	0	1	0	0	0	1
31	SS	21.9	18.83601	0.49902	b	0.35407	33.89	27.84	0	0	0	0	0	0	0	0	0	0	0
32	SS	17.6	17.47294	0.50363	a	0.21409	35.09	27.89	0	0	0	0	0	0	0	0	0	0	0
33	SS	14.3	16.17815	0.49694	c	0.12912	33.79	30.16	0	0	1	1	0	1	1	1	0	0	1
34	SS	18.2	17.68198	0.50359	a	0.23165	33.89	32.61	0	0	0	0	0	0	0	0	0	0	0
35	SS	29	20.58708	0.48168	c	0.655	32.32	0.76	0	0	0	0	0	0	0	0	0	0	0
36	SS	14.5	16.26476	0.49782	c	0.1337	32.62	0.76	0	1	1	1	1	0	0	0	0	1	0
37	SS	30.7	20.94232	0.47705	b	0.73953	31.82	8.01	0	0	0	0	0	0	0	0	0	0	0
38	SS	22.4	18.97678	0.49803	a	0.37245	32.42	12.67	0	0	0	0	0	0	0	0	0	0	0
39	SS	22.2	18.92086	0.49844	b	0.36505	32.42	20.38	0	0	0	0	0	0	0	0	0	0	0
40	SS	31.3	21.06301	0.47541	b	0.77049	32.42	23.27	0	0	0	0	0	0	0	0	0	0	0
41	SS	12.6	15.38893	0.48549	c	0.09316	32.42	25.5	1	1	1	1	1	1	1	1	1	1	0
42	SS	15.2	16.55875	0.50029	c	0.15032	32.32	25.7	1	1	1	0	1	1	0	1	1	1	0
43	SS	17.5	17.43741	0.50361	b	0.21122	32.42	27.66	0	0	0	0	0	0	0	0	0	0	0
44	SS	12.4	15.28915	0.48355	b	0.08928	32.92	30.15	1	1	1	1	1	0	1	0	1	0	1
45	SS	19.5	18.11221	0.50269	b	0.27191	32.42	32.62	0	0	0	0	0	0	0	0	0	0	0
46	SS	7.8	12.3984	0.35712	c	0.02116	32.42	34.5	1	1	1	1	1	1	1	1	1	0	0
47	SS	7.4	12.07013	0.33096	c	0.01718	32.42	35.7	1	1	1	1	1	1	1	1	1	0	0
48	SS	17.6	17.47294	0.50363	a	0.21409	32.42	36.24	0	0	0	0	0	0	0	0	0	1	0
49	SS	17.7	17.50827	0.50364	b	0.21697	29.64	37.05	0	0	0	0	0	0	0	0	0	0	0
50	SS	15.5	16.68063	0.5011	b	0.15772	29.84	2.75	0	1	0	1	0	0	0	0	0	0	0
51	SS	18.9	17.91733	0.50322	b	0.25296	29.84	4.98	0	0	0	0	0	0	0	0	0	0	0
52	SS	7.6	12.23643	0.3446	b	0.01913	29.84	7.25	1	0	0	1	1	1	1	1	1	0	0
53	SS	15.2	16.55875	0.50029	b	0.15032	29.84	9.57	0	1	0	0	0	0	0	0	0	0	1
54	SS	30.3	20.86053	0.47814	a	0.71922	28.64	11.45	0	0	0	0	0	0	0	0	0	0	0
55	SS	16.4	17.03259	0.50279	c	0.1809	29.84	21.7	0	1	1	0	1	1	0	1	1	0	1
56	SS	13.3	15.72608	0.49119	c	0.10732	29.84	22.03	0	1	1	1	1	1	1	1	1	0	1
57	SS	18.4	17.75014	0.50351	b	0.23765	29.24	24.17	0	0	0	0	0	0	0	0	0	0	0
58	SS	23.6	19.3022	0.49544	c	0.41833	29.54	26.42	0	0	0	0	0	0	0	0	0	0	1
59	SS	19.1	17.98297	0.50307	c	0.2592	29.14	28.5	0	0	0	0	1	1	0	0	0	0	1
60	SS	18.9	17.91733	0.50322	c	0.25296	29.34	26.6	0	0	0	0	1	1	0	0	0	0	0
61	SS	19.9	18.23883	0.50223	a	0.2849	29.84	31.24	0	0	0	0	0	0	0	0	0	0	0
62	SS	17.6	17.47294	0.50363	b	0.21409	29.84	34.16	1	1	0	0	0	1	0	1	1	1	0
63	SS	11.6	14.87328	0.47413	c	0.07453	27.71	1.63	1	1	1	1	1	1	1	1	1	1	0
64	SS	8.7	13.07935	0.4021	c	0.03126	27.51	1.82	1	1	1	1	1	1	1	1	1	1	0
65	SS	28.8	20.54393	0.48222	c	0.64536	27.91	3.87	0	0	0	0	0	0	0	0	0	0	0
66	SS	29.6	20.71478	0.48005	b	0.68429	27.61	6.15	0	0	0	0	0	0	0	0	0	0	0
67	SS	13.7	15.91086	0.49379	c	0.11582	27.61	8.63	1	1	1	0	0	1	1	1	1	1	1
68	SS	8.2	12.71026	0.37918	c	0.02545	27.71	8.8	1	1	1	1	0	1	1	1	1	1	1
69	SS	7.9	12.47784	0.36299	c	0.0222	27.81	8.8	1	0	1	1	0	1	1	1	1	1	1
70	SS	25.1	19.68646	0.49188	b	0.47914	27.71	15.39	0	0	0	0	0	0	1	1	0	0	0
71	SS	11.3	14.70988	0.46979	c	0.0693	27.71	8.9	1	1	1	1	0	1	0	1	1	1	1
72	SS	30	20.79849	0.47896	b	0.70415	27.71	17.7	0	0	0	0	0	0	0	0	0	0	0
73	SS	9.8	13.82178	0.439	c	0.04577	27.51	19.8	1	0	1	1	1	1	1	1	1	1	0
74	SS	10	13.94776	0.44418	c	0.04866	27.81	19.9	1	0	1	1	1	1	1	1	1	1	0
75	SS	12.3	15.23866	0.48253	a	0.08737	27.71	30.02	0	1	1	1	0	0	1	0	0	0	0
76	SS	28.2	20.41264	0.48384	b	0.61686	27.71	33.92	0	0	0	0	0	0	1	0	0	0	0
77	SS	26.3	19.97768	0.48884	c	0.53054	25.45	4.01	0	0	0	0	0	1	0	0	0	1	0
78	SS	27.8	20.32356	0.4849	b	0.59819	24.95	8.11	0	0	0	0	0	0	0	0	0	0	0
79	SS	11	14.5421	0.46494	c	0.06425	26.55	10.52	1	0	1	1	1	1	1	0	1	0	1
80	SS	6.8	11.54285	0.2819	b	0.01182	26.95	19.31	1	0	1	1	0	1	1	1	1	1	0
81	SS	11.9	15.0325	0.478	c	0.07992	25.95	22.13	1	0	1	0	1	1	1	0	0	1	1
82	SS	18.3	17.71615	0.50355	b	0.23464	25.85	24.63	0	0	0	0	0	0	0	0	0	0	0
83	SS	12.3	15.23866	0.48253	c	0.08737	25.95	26.7	1	0	1	0	1	1	1	1	1	0	0
84	SS	9.5	13.62791	0.43045	c	0.04158	25.75	26.9	1	0	1	1	1	1	1	1	1	0	0
85	SS	20.3	18.36293	0.5017	c	0.29817	25.45	29.1	0	0	0	0	0	0	0	0	0	0	0
86	SS	16.5	17.07049	0.50291	c	0.18357	25.25	29.35	0	0	0	0	1	0	0	0	0	0	1
87	SS	10.1	14.00981	0.44663	a	0.05013	25.45	31.63	1	1	1	0	0	1	1	0	1	0	0
88	SS	20.5	18.42407	0.50142	a	0.30492	25.45	33.85	0	0	0	0	0	0	0	0	0	0	0
89	SS	29.3	20.65126	0.48087	b	0.66957	23.11	1.19	0	1	0	0	0	0	0	0	0	0	0
90	SS	9.4	13.56192	0.42737	c	0.04022	22.81	3.01	1	1	0	1	1	1	1	1	1	1	0
91	SS	11	14.5421	0.46494	b	0.06425	23.11	5.03	1	0	0	0	1	1	0	1	1	1	0
92	SS	33.7	21.52371	0.46886	a	0.90014	22.41	5.4	0	0	0	0	0	0	0	0	0	0	0
93	SS	26.5	20.02492	0.48833	a	0.53934	23.31	10.58	0	0	0	0	0	0	0	0	0	0	0
94	SS	13.6	15.86517	0.49318	c	0.11366	25.95	22.33	1	0	1	0	1	1	0	0	0	1	1
95	SS	19.1	17.98297	0.50307	b	0.2592	23.51	12.72	0	1	0	0	0	1	1	0	0	1	0
96	SS	21.6	18.75	0.49959	c	0.34325	23.71	15.27	0	1	0	1	1	1	1	0	1	0	1
97	SS	9.7	13.75782	0.43626	c	0.04435	23.11	17.6	1	1	0	1	1	1	1	1	1	1	1
98	SS	33.6	21.50518	0.46913	b	0.89456	23.91	19.78	0	0	0	0	0	0	0	0	0	0	0
99	SS	29.6	20.71478	0.48005	c	0.68429	21.23	1.24	0	0	0	0	0	0	1	0	0	0	0
100	SS	11.5	14.81929	0.47274	a	0.07277	21.23	9.83	0	0	0	1	0	0	1	0	0	0	0
101	SS	22.8	19.08715	0.4972	a	0.38747	21.83	15.53	0	0	0	0	0	0	0	0	0	0	0
102	SS	22.8	19.08715	0.4972	b	0.38747	19.3	25.52	0	0	0	0	0	0	0	0	0	0	0
103	SS	18.7	17.85099	0.50336	c	0.24678	19.1	29.19	0	0	0	0	0	1	0	0	0	0	0
104	SS	16.9	17.21986	0.50331	c	0.19441	19.5	29.49	0	0	0	1	0	1	0	0	0	0	0
105	SS	20.9	18.54457	0.5008	b	0.31861	19.3	34.81	0	0	0	0	0	0	0	0	0	0	0
106	SS	15	16.47616	0.49968	b	0.14548	16.3	35.56	1	1	1	0	0	0	0	1	0	0	0
107	SS	24.4	19.51008	0.49358	b	0.45028	17.1	33.73	0	0	0	0	0	0	0	0	0	0	0
108	SS	15.6	16.72073	0.50134	b	0.16023	17	31.3	0	1	1	1	0	1	1	0	0	1	1
109	SS	19.9	18.23883	0.50223	a	0.2849	16.2	30.6	0	0	0	0	1	0	0	0	0	0	0
110	SS	23.5	19.27572	0.49567	b	0.41441	16.7	26.02	0	0	0	0	0	0	0	0	0	0	0
111	SS	14.9	16.43445	0.49934	c	0.14309	16.5	21.28	0	0	0	0	1	1	1	1	1	0	0
112	SS	9.1	13.35966	0.41739	c	0.03627	16.8	21.08	1	0	0	1	1	1	1	1	1	0	0
113	SS	21.8	18.80747	0.49921	a	0.35044	16.7	19.05	0	0	0	0	0	0	1	0	0	0	0
114	SS	17.6	17.47294	0.50363	c	0.21409	17.5	13.1	0	0	0	0	1	0	0	0	0	0	0
115	SS	16.2	16.95607	0.5025	c	0.17562	17.3	13.29	0	0	0	1	1	0	0	0	0	0	0
116	SS	27.6	20.27854	0.48544	b	0.58895	17.2	10.47	0	0	0	0	0	0	0	0	0	0	0
117	SS	25.8	19.85799	0.49012	b	0.50883	17	8.46	0	0	0	0	0	0	0	0	0	0	0
118	SS	26	19.90614	0.48961	b	0.51746	16.7	5.57	0	0	0	0	0	0	0	0	0	0	0
119	SS	17.9	17.57834	0.50364	a	0.22279	14.37	5.25	1	1	0	0	1	1	1	0	0	0	0
120	SS	16.8	17.18285	0.50322	a	0.19167	14.57	7.65	0	0	1	0	0	0	0	0	1	1	0
121	SS	19.2	18.01553	0.50298	b	0.26235	14.67	10.06	1	1	0	1	0	1	0	0	0	0	1
122	SS	26.4	20.00134	0.48859	b	0.53493	13.57	10.97	0	0	0	0	0	0	1	0	0	1	0
123	SS	28.7	20.52224	0.48249	b	0.64057	14.67	19.79	0	0	0	1	0	0	0	0	0	1	0
124	SS	21.4	18.69199	0.49995	a	0.33612	13.87	23.6	0	0	0	0	0	0	0	0	0	0	0
125	SS	16.6	17.10817	0.50303	b	0.18625	13.87	25.55	0	1	0	0	0	1	0	0	0	0	0
126	SS	12.1	15.13643	0.48035	c	0.08361	13.67	27.62	0	1	1	1	1	0	1	1	1	1	1
127	SS	13.1	15.6316	0.48972	c	0.10318	13.87	27.62	0	0	1	0	1	0	1	1	0	0	1
128	SS	14.4	16.2216	0.49739	b	0.1314	13.87	30.24	1	1	0	0	0	0	1	0	0	0	1
129	SS	13.2	15.67902	0.49047	c	0.10524	13.27	32.13	0	1	1	0	0	1	0	1	1	0	1
130	SS	9.8	13.82178	0.439	c	0.04577	13.07	32	0	1	1	1	1	1	0	1	1	0	1
131	SS	13.1	15.6316	0.48972	c	0.10318	13.07	32.2	0	1	1	1	1	1	0	1	1	1	0
132	SS	26.2	19.95392	0.4891	a	0.52616	12.97	34.65	0	0	0	0	1	0	0	0	0	0	0
133	SS	25.8	19.85799	0.49012	a	0.50883	12.97	37.52	0	0	0	0	0	0	0	0	0	0	0
134	SS	10.9	14.48515	0.4632	c	0.06261	13.27	37.3	1	1	1	1	1	1	1	0	1	1	0
135	SS	11.6	14.87328	0.47413	b	0.07453	12.04	37.52	1	1	0	1	1	1	0	0	0	1	0
136	SS	18.2	17.68198	0.50359	a	0.23165	12.04	30.41	0	0	0	0	0	0	0	0	0	0	0
137	SS	23.3	19.22243	0.49612	b	0.40662	12.34	21.55	0	0	0	0	0	0	0	0	0	0	1
138	SS	18.5	17.78393	0.50347	b	0.24068	12.74	19.72	1	1	0	0	0	0	1	0	1	0	0
139	SS	27.1	20.16453	0.48676	a	0.56615	12.24	15.57	0	0	0	0	0	0	0	0	0	0	0
140	SS	24.2	19.45876	0.49405	a	0.44219	12.04	11.37	0	0	0	0	0	0	0	0	0	0	0
141	SS	17.3	17.36574	0.50354	c	0.20555	12.34	8.81	0	0	1	1	1	1	1	0	0	1	1
142	SS	18.7	17.85099	0.50336	c	0.24678	12.34	8.6	0	0	1	0	1	1	1	0	0	0	0
143	SS	18.1	17.64763	0.50361	b	0.22868	12.34	4.6	0	0	0	1	0	0	0	0	0	0	0
144	SS	12.2	15.18775	0.48146	b	0.08548	9.8	1.26	1	1	1	0	0	1	0	1	1	0	0
145	SS	28.6	20.50047	0.48276	c	0.63579	11.34	2.06	0	0	0	1	1	0	0	0	0	0	0
146	SS	23.3	19.22243	0.49612	c	0.40662	10	8.66	0	0	0	1	0	0	0	0	0	0	0
147	SS	20.5	18.42407	0.50142	c	0.30492	9.6	8.7	0	1	0	0	0	0	1	0	0	0	1
148	SS	12.1	15.13643	0.48035	c	0.08361	10	17.66	0	1	0	1	0	1	1	1	0	0	1
149	SS	18.9	17.91733	0.50322	c	0.25296	9.7	17.66	0	0	0	0	0	1	0	0	1	0	0
150	SS	26.5	20.02492	0.48833	b	0.53934	10.4	20.85	0	0	0	0	0	0	0	0	0	0	0
151	SS	7.6	12.23643	0.3446	a	0.01913	10	22.93	0	0	0	1	1	1	1	0	1	1	0
152	SS	13.1	15.6316	0.48972	b	0.10318	9.7	25.4	1	1	1	1	1	1	1	1	1	1	0
153	SS	22.3	18.94888	0.49824	b	0.36874	10	26.87	0	0	0	0	0	0	0	0	0	0	0
154	SS	16.4	17.03259	0.50279	b	0.1809	9.8	31.39	0	1	0	0	1	0	0	0	1	0	1
155	SS	26.8	20.09512	0.48755	b	0.55267	10	33.88	0	0	0	0	0	0	0	0	0	0	0
156	SS	19.2	18.01553	0.50298	a	0.26235	10	37.05	0	0	0	0	0	0	0	0	0	0	0
157	SS	8.5	12.93432	0.39349	b	0.02888	6.99	37.3	1	0	1	1	0	1	1	0	1	1	0
158	SS	23.2	19.1956	0.49634	a	0.40276	6.99	36.96	0	0	0	0	0	1	0	0	0	0	0
159	SS	21.1	18.60396	0.50047	a	0.32556	7.29	34.27	0	0	0	0	0	1	0	0	0	0	0
160	SS	11.3	14.70988	0.46979	a	0.0693	6.99	31.89	1	1	1	1	1	1	1	0	0	1	0
161	SS	22.8	19.08715	0.4972	a	0.38747	6.99	29.7	0	0	0	0	0	0	0	0	0	0	0
162	SS	21.4	18.69199	0.49995	b	0.33612	6.69	24.45	0	0	0	0	0	0	0	0	0	0	0
163	SS	20.6	18.45441	0.50127	b	0.30831	7.39	22.73	0	0	0	0	0	1	0	0	0	0	0
164	SS	7.9	12.47784	0.36299	c	0.0222	7.59	22.9	0	0	0	1	1	1	0	0	0	0	0
165	SS	14	16.04593	0.49547	a	0.12239	7.19	20.19	0	1	1	1	1	0	0	0	0	1	0
166	SS	10.8	14.42767	0.46139	c	0.06098	6.59	17.5	1	1	0	1	1	1	0	0	1	1	1
167	SS	23.2	19.1956	0.49634	c	0.40276	6.69	17.7	1	0	0	0	0	1	0	0	1	0	0
168	SS	23.6	19.3022	0.49544	a	0.41833	7.49	15.24	0	1	0	0	0	0	1	0	0	0	0
169	SS	20.3	18.36293	0.5017	a	0.29817	6.59	13.17	0	1	0	0	0	0	0	0	0	0	0
170	SS	9.8	13.82178	0.439	a	0.04577	7.19	11.92	1	1	1	1	1	1	1	0	1	0	1
171	SS	19.5	18.11221	0.50269	a	0.27191	5.05	0.78	0	0	0	0	0	0	0	0	0	1	0
172	SS	25.3	19.73595	0.49138	b	0.48754	4.55	3.81	1	0	0	0	0	0	0	0	1	0	0
173	SS	34.6	21.68806	0.46642	b	0.95113	4.45	6.19	0	0	0	0	0	0	0	0	0	0	0
174	SS	23	19.14161	0.49677	b	0.39508	4.55	9.55	0	0	0	0	0	0	0	0	0	0	0
175	SS	35.3	21.81296	0.46453	c	0.99167	5.05	15.42	0	0	0	0	0	0	0	0	0	0	0
176	SS	20.9	18.54457	0.5008	b	0.31861	2	0.97	1	1	1	1	0	0	0	0	1	0	0
