Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AG	AP	DDB	DL	JL	KT	NH	PO	RR	SK	SN
64	NS	22.6	16.2	0.499	B	0.323	9.562	32.650	0	0	0	1	0	1	1	1	0	1	0
65	BI	8.9	14.2	0.503	B	0.044	9.806	29.780	0	0	0	0	0	0	0	0	0	0	0
66	NS	18.5	15.1	0.509	A	0.207	9.624	28.580	0	0	0	0	0	0	1	0	0	0	0
68	BI	10.8	14.2	0.485	B	0.063	10.071	25.510	0	0	0	0	0	1	0	0	0	0	0
69	NS	7.9	10.5	0.536	B	0.028	9.689	24.310	0	0	0	0	0	0	0	0	0	0	0
70	NS	13.7	13.5	0.520	A	0.103	9.721	22.190	1	0	1	1	0	1	0	0	0	0	0
71	NS	23.8	16.4	0.495	A	0.362	9.752	20.170	0	0	0	1	0	0	1	0	1	0	0
72	NS	15.9	14.3	0.515	A	0.146	9.684	18.040	0	0	0	0	1	1	0	0	0	1	0
73	NS	15.1	14.0	0.517	B	0.130	9.849	13.770	0	1	0	0	0	0	0	0	0	0	0
74	NS	18.5	15.1	0.509	A	0.207	9.709	9.790	0	0	0	1	0	0	0	0	1	0	0
76	NS	7.6	10.3	0.538	B	0.025	9.940	7.770	0	0	0	0	0	0	0	0	0	0	0
77	BI	5.7	10.2	0.528	B	0.014	10.256	6.680	0	0	0	0	0	0	0	0	0	0	0
78	NS	7.3	10.1	0.539	C	0.023	9.971	5.690	0	0	0	0	0	0	0	0	0	0	0
79	NS	8.8	11.1	0.533	A	0.036	10.102	3.680	0	0	0	0	0	0	0	0	0	0	0
81	NS	6.8	9.7	0.542	B	0.019	10.131	1.780	0	0	0	0	0	0	0	0	0	0	0
82	NS	7.2	10.0	0.540	B	0.022	10.034	1.540	0	0	0	0	0	0	0	0	0	0	0
83	NS	17.0	14.6	0.513	B	0.170	12.089	1.220	0	0	1	0	0	0	0	0	0	0	0
84	NS	9.0	11.2	0.532	B	0.038	12.160	3.030	0	0	0	0	0	0	0	0	0	1	0
85	NS	13.1	13.2	0.522	B	0.093	12.057	3.220	0	0	0	0	0	0	0	0	0	1	0
88	NS	19.1	15.3	0.508	A	0.222	11.999	6.860	0	0	0	0	0	0	0	0	0	0	0
89	BI	5.2	10.8	0.544	C	0.012	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0
90	NS	18.8	15.2	0.508	B	0.214	11.745	10.280	0	0	0	1	0	1	0	1	0	1	1
91	NS	14.7	13.9	0.518	B	0.122	11.909	12.570	1	0	0	1	0	0	0	0	1	0	0
92	EL	25.3	16.2	0.445	C	0.362	11.194	13.500	0	0	0	1	0	1	0	1	0	0	0
94	NS	12.3	12.9	0.524	B	0.080	11.657	15.830	0	1	0	0	0	0	0	1	0	0	0
95	NS	16.2	14.4	0.515	A	0.153	11.537	17.070	0	0	0	0	0	0	1	0	0	0	0
96	NS	14.9	13.9	0.518	C	0.126	11.804	19.160	0	0	0	0	0	1	0	0	1	0	0
97	NS	16.5	14.5	0.514	A	0.159	11.793	19.870	0	0	0	0	1	1	0	0	0	1	0
99	NS	13.3	13.3	0.521	A	0.096	11.732	23.710	0	0	0	0	0	0	0	0	0	0	0
100	NS	7.4	10.2	0.539	C	0.024	11.599	25.750	0	0	0	0	0	0	0	0	1	0	0
101	NS	11.1	12.3	0.526	B	0.063	11.697	25.880	0	0	0	0	0	0	1	0	1	1	0
102	NS	20.1	15.5	0.505	A	0.249	11.669	27.680	1	0	0	0	1	1	0	0	0	0	0
103	NS	14.0	13.6	0.520	B	0.109	11.607	31.560	0	1	1	0	0	0	0	0	0	0	1
104	NS	7.9	10.5	0.536	A	0.028	11.572	33.760	0	0	0	0	0	0	0	0	1	0	0
105	NS	11.1	12.3	0.526	A	0.063	11.342	35.690	0	0	0	0	0	0	1	0	0	0	0
106	NS	12.7	13.1	0.523	B	0.087	12.851	35.860	1	0	0	1	1	0	0	0	1	1	0
107	NS	19.4	15.3	0.507	A	0.230	12.963	33.980	0	0	1	0	0	0	0	0	0	0	1
108	NS	16.5	14.5	0.514	B	0.159	13.065	32.270	1	0	0	1	1	0	1	0	1	1	0
110	NS	6.7	9.6	0.543	A	0.018	13.285	28.570	0	0	0	0	0	0	0	0	1	0	0
111	NS	11.8	12.7	0.525	A	0.073	13.400	26.650	0	0	0	0	0	0	0	0	0	1	0
112	NS	12.5	13.0	0.523	A	0.083	13.911	24.790	0	0	0	0	0	0	0	0	0	0	0
114	NS	15.8	14.2	0.516	B	0.144	13.647	22.510	0	0	1	1	0	1	0	0	0	0	0
115	NS	15.0	14.0	0.517	B	0.128	13.937	19.320	0	0	0	0	0	0	0	0	1	0	0
117	NS	9.3	11.4	0.531	C	0.041	14.356	15.660	0	0	0	0	0	0	0	0	0	0	0
118	NS	12.0	12.8	0.524	B	0.076	14.088	15.120	0	0	0	0	0	0	0	0	0	0	0
119	NS	8.8	11.1	0.533	A	0.036	14.270	13.750	0	0	0	0	0	0	0	0	0	0	0
120	NS	17.3	14.7	0.512	B	0.177	14.555	12.310	0	1	0	0	0	0	0	0	0	0	0
121	BI	7.0	9.6	0.504	C	0.019	14.786	11.800	0	0	0	0	0	0	0	0	0	0	0
122	NS	6.6	9.6	0.543	C	0.018	15.454	8.990	0	0	0	0	0	0	0	0	0	0	0
124	NS	16.2	14.4	0.515	A	0.153	15.747	7.430	0	1	0	0	0	0	1	0	0	0	0
125	DF	19.1	17.9	0.535	B	0.274	15.155	5.610	1	0	1	0	0	1	0	1	0	1	1
126	NS	9.5	11.5	0.531	B	0.043	14.865	5.440	1	1	0	0	0	0	0	1	0	0	0
127	NS	11.1	12.3	0.526	A	0.063	14.835	4.280	0	0	1	0	0	0	1	0	0	0	0
128	NS	18.4	15.1	0.509	C	0.204	14.425	2.770	0	0	0	0	0	0	0	0	0	0	0
129	NS	15.6	14.2	0.516	A	0.140	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0
130	NS	12.7	13.1	0.523	A	0.087	16.507	3.140	0	0	0	0	0	0	0	0	0	0	0
131	SP	12.3	12.0	0.514	B	0.073	17.086	3.530	0	0	0	0	0	0	1	0	1	0	0
132	NS	15.5	14.1	0.516	B	0.138	16.902	5.080	0	1	0	0	0	1	0	0	0	0	0
133	NS	7.2	10.0	0.540	A	0.022	18.703	5.070	0	0	0	0	0	0	0	0	0	0	0
134	BI	10.0	13.3	0.488	A	0.051	17.225	6.500	0	0	0	0	0	0	0	0	1	0	0
135	NS	10.3	11.9	0.529	B	0.053	17.395	7.050	0	0	0	0	0	0	0	1	0	0	0
136	NS	14.4	13.7	0.519	B	0.116	16.741	9.900	0	0	1	0	0	1	0	0	0	1	0
137	NS	9.1	11.3	0.532	B	0.039	16.835	10.020	0	0	1	0	0	0	0	0	0	0	0
138	BI	6.2	10.8	0.522	C	0.017	15.919	10.300	0	0	0	0	0	0	0	0	0	0	0
139	NS	7.0	9.9	0.541	A	0.021	16.316	12.210	0	0	0	0	0	0	0	0	0	0	0
140	NS	18.8	15.2	0.508	C	0.214	16.192	14.500	1	0	0	0	1	0	0	1	0	0	0
141	NS	18.5	15.1	0.509	C	0.207	16.386	14.610	0	1	0	1	0	0	0	1	0	0	0
144	NS	12.9	13.2	0.522	C	0.090	15.833	19.290	0	0	0	0	0	1	0	0	0	0	0
145	NS	18.9	15.2	0.508	A	0.217	15.920	21.380	0	0	0	0	0	0	0	0	0	0	0
146	NS	11.7	12.6	0.525	A	0.071	15.816	23.300	1	0	0	0	1	0	1	0	0	1	0
147	NS	14.8	13.9	0.518	A	0.124	15.712	25.220	0	0	0	0	0	0	0	1	0	0	0
149	NS	13.1	13.2	0.522	B	0.093	15.431	28.560	1	0	0	0	1	1	0	0	0	1	1
150	NS	5.8	8.9	0.550	B	0.013	15.524	28.680	1	0	0	0	0	0	0	0	0	0	0
151	NS	16.3	14.4	0.514	A	0.155	15.225	30.510	0	0	0	0	0	0	0	0	0	0	1
152	NS	11.5	12.5	0.525	B	0.068	15.213	32.590	0	0	0	0	0	0	0	0	0	1	0
153	NS	13.9	13.6	0.520	A	0.107	15.233	34.060	1	0	0	1	0	0	0	0	0	0	1
154	NS	13.1	13.2	0.522	C	0.093	15.226	34.200	0	0	0	0	0	0	0	0	0	0	0
155	NS	15.2	14.0	0.517	C	0.132	17.351	33.580	0	0	0	0	0	0	0	0	0	0	0
157	NS	19.4	15.3	0.507	B	0.230	17.412	30.570	0	0	0	0	0	0	0	1	0	0	0
158	NS	15.1	14.0	0.517	B	0.130	17.717	30.480	0	0	0	0	0	0	0	0	0	0	0
160	NS	21.6	15.9	0.501	A	0.293	17.682	27.410	0	0	0	0	0	0	0	1	0	0	0
161	NS	17.2	14.7	0.512	A	0.175	17.812	25.010	1	0	1	0	1	1	1	0	0	0	1
162	NS	15.1	14.0	0.517	A	0.130	18.109	23.200	0	1	0	1	0	0	0	1	0	0	0
163	NS	15.8	14.2	0.516	B	0.144	18.126	21.020	1	0	1	1	0	1	0	0	0	0	0
164	NS	13.8	13.5	0.520	B	0.105	18.139	18.920	0	0	0	0	0	0	0	0	0	0	0
165	NS	9.6	11.6	0.531	B	0.044	18.443	18.840	0	0	0	0	0	0	0	0	0	0	0
166	NS	11.5	12.5	0.525	C	0.068	18.236	17.110	0	0	0	0	0	0	0	0	1	0	0
167	NS	17.1	14.7	0.512	C	0.173	18.400	14.070	0	0	0	0	0	1	0	0	0	0	0
168	NS	9.9	11.7	0.530	C	0.048	18.638	11.510	0	1	0	0	1	0	0	1	0	1	1
170	NS	16.7	14.5	0.513	B	0.164	18.884	8.790	0	0	0	0	0	0	0	1	0	0	0
171	NS	14.9	13.9	0.518	C	0.126	18.861	7.360	0	0	1	0	0	0	0	0	0	1	0
172	NS	11.6	12.6	0.525	C	0.070	20.999	1.100	0	0	0	0	1	0	1	0	0	0	1
173	NS	16.3	14.4	0.514	A	0.155	20.914	3.480	0	0	0	0	0	0	1	0	0	0	0
174	NS	13.5	13.4	0.521	C	0.100	20.742	5.500	1	1	1	0	0	0	0	0	0	0	1
175	NS	12.6	13.0	0.523	B	0.085	20.795	6.840	0	0	0	0	0	0	0	0	0	0	0
176	NS	15.7	14.2	0.516	A	0.142	20.135	11.330	0	1	1	1	1	1	0	0	0	0	0
178	NS	24.7	16.6	0.493	A	0.393	20.587	15.510	0	0	0	1	0	0	0	0	0	0	0
179	NS	16.9	14.6	0.513	C	0.168	20.411	17.650	1	1	0	0	1	1	0	0	1	0	1
180	NS	12.8	13.1	0.522	B	0.088	20.259	19.100	0	0	0	0	0	0	0	0	0	0	1
181	NS	15.2	14.0	0.517	B	0.132	20.353	19.290	0	0	0	0	0	0	0	0	0	0	1
182	NS	9.5	11.5	0.531	A	0.043	20.234	22.630	0	0	0	0	0	0	0	1	0	0	0
183	NS	19.5	15.4	0.507	A	0.233	20.137	25.350	0	0	0	1	0	1	0	0	0	0	0
184	NS	18.6	15.1	0.509	C	0.209	20.065	27.390	1	0	1	1	1	1	0	0	1	0	1
186	NS	16.9	14.6	0.513	C	0.168	19.655	33.290	0	0	0	0	0	0	0	0	0	1	0
187	NS	10.9	12.3	0.527	B	0.060	19.806	34.670	0	0	0	0	1	0	0	0	1	0	1
188	NS	11.9	12.7	0.525	B	0.074	19.702	34.790	0	0	0	0	1	0	0	0	1	0	1
189	NS	15.2	14.0	0.517	A	0.132	21.390	35.610	0	0	0	0	0	0	0	0	0	0	0
190	NS	10.0	11.8	0.529	A	0.049	21.726	34.150	0	0	0	0	0	1	0	0	0	0	0
192	NS	11.2	12.4	0.526	B	0.064	21.881	31.910	0	0	0	0	0	1	0	0	0	0	1
194	NS	7.0	9.9	0.541	B	0.021	21.932	29.840	0	0	0	0	0	0	0	0	0	0	0
195	BI	14.2	10.4	0.460	C	0.076	22.050	29.090	0	0	0	0	0	1	0	0	0	0	0
197	NS	5.4	8.5	0.554	A	0.011	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0
198	NS	20.1	15.5	0.505	B	0.249	22.054	24.830	0	0	1	0	0	0	0	0	1	0	1
199	NS	8.9	11.2	0.533	B	0.037	22.101	22.910	0	0	0	0	0	1	0	0	0	0	0
200	NS	6.9	9.8	0.541	B	0.020	22.198	23.030	0	0	0	0	0	0	0	0	0	0	0
201	BI	6.9	11.6	0.516	C	0.022	22.512	22.470	0	0	0	0	0	0	0	0	0	0	0
203	NS	14.9	13.9	0.518	A	0.126	21.933	21.600	0	0	0	0	0	1	0	0	0	0	0
205	NS	14.0	13.6	0.520	B	0.109	22.006	18.650	0	0	0	0	0	0	0	0	0	0	0
206	NS	8.1	10.7	0.536	B	0.029	22.059	16.480	1	0	0	0	0	0	0	0	0	0	0
207	NS	10.8	12.2	0.527	B	0.059	22.262	16.350	1	1	0	0	0	1	0	0	0	0	0
209	NS	8.1	10.7	0.536	B	0.029	22.309	14.420	0	0	0	0	0	1	0	0	0	0	0
210	BI	5.9	12.1	0.537	C	0.018	23.044	13.010	0	0	0	0	0	0	0	0	0	0	0
212	NS	12.1	12.8	0.524	B	0.077	22.374	11.780	0	0	0	1	1	1	1	1	1	0	0
213	NS	19.2	15.3	0.507	A	0.225	22.413	10.170	0	0	0	0	0	0	1	1	0	0	0
214	NS	11.1	12.3	0.526	B	0.063	22.273	7.710	1	1	0	0	0	1	0	0	0	1	0
215	NS	11.5	12.5	0.525	C	0.068	22.476	7.600	1	1	0	0	0	1	0	0	0	1	0
216	NS	7.3	10.1	0.539	B	0.023	22.537	5.110	0	0	0	0	0	0	0	0	0	0	0
217	BI	6.3	12.5	0.532	B	0.021	22.548	4.650	0	0	0	0	0	0	0	0	0	0	0
218	NS	10.8	12.2	0.527	C	0.059	22.285	3.160	0	0	0	0	0	0	0	0	0	0	0
219	NS	10.6	12.1	0.528	B	0.056	24.875	1.450	0	0	0	0	0	0	0	0	0	0	0
220	NS	6.4	9.4	0.545	C	0.016	24.873	1.550	0	0	0	0	0	0	0	0	0	0	0
221	NS	9.3	11.4	0.531	B	0.041	25.049	3.050	0	0	0	0	0	0	0	0	1	0	0
222	NS	7.2	10.0	0.540	C	0.022	24.847	3.160	0	0	0	0	0	0	0	0	0	0	0
223	NS	7.3	10.1	0.539	A	0.023	24.830	4.200	0	0	0	0	0	0	0	0	0	0	0
224	NS	12.2	12.9	0.524	A	0.079	24.524	4.560	1	1	0	0	0	0	0	0	0	1	0
225	NS	18.0	14.9	0.510	A	0.194	24.798	6.190	0	0	1	0	1	1	0	0	0	0	1
226	NS	15.7	14.2	0.516	C	0.142	24.751	9.080	0	0	0	0	0	1	0	1	1	0	0
227	NS	22.1	16.0	0.500	A	0.308	24.704	12.000	0	0	1	0	1	0	0	0	0	0	0
228	BI	7.4	12.0	0.510	B	0.026	24.293	12.660	0	0	0	0	0	0	0	0	0	0	0
229	NS	12.4	12.9	0.523	A	0.082	24.670	14.070	1	1	0	1	0	1	0	1	0	0	0
230	NS	17.3	14.7	0.512	A	0.177	24.641	15.860	0	1	1	0	0	1	1	0	1	0	1
231	NS	10.1	11.8	0.529	B	0.050	24.613	17.600	0	0	0	1	0	0	1	0	0	0	1
232	NS	13.2	13.3	0.521	B	0.095	24.810	17.780	0	0	0	0	0	0	1	0	0	0	1
233	NS	13.0	13.2	0.522	B	0.091	24.677	19.800	1	0	0	0	0	0	0	0	0	0	0
234	NS	10.6	12.1	0.528	B	0.056	24.576	19.890	1	0	0	0	0	1	0	0	0	0	0
235	NS	21.8	16.0	0.501	A	0.299	24.547	21.660	0	0	0	0	0	0	1	0	1	0	1
236	NS	14.0	13.6	0.520	A	0.109	24.519	23.390	1	1	1	0	1	1	0	0	0	0	0
237	NS	7.5	10.2	0.538	B	0.024	24.684	25.550	0	0	0	0	0	0	0	0	0	0	0
238	NS	11.3	12.4	0.526	B	0.066	24.782	25.650	0	0	0	0	0	0	1	0	0	0	0
241	NS	17.6	14.8	0.511	A	0.184	24.716	29.740	0	0	0	1	0	0	0	0	0	0	0
242	NS	9.6	11.6	0.531	B	0.044	24.880	31.940	0	0	1	0	0	0	0	0	1	0	0
243	NS	17.2	14.7	0.512	A	0.175	24.754	33.570	0	0	0	0	0	0	1	1	0	0	0
244	NS	13.5	13.4	0.521	C	0.100	24.320	35.690	0	0	1	0	0	1	0	0	1	0	0
245	BI	5.6	11.0	0.536	B	0.015	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0
246	NS	9.0	11.2	0.532	A	0.038	27.201	33.700	0	0	0	0	0	0	0	0	0	0	0
249	NS	15.4	14.1	0.516	A	0.136	26.932	31.480	0	1	0	0	1	1	0	1	0	0	1
250	BI	7.3	11.4	0.509	C	0.024	28.350	30.220	0	0	0	0	0	0	0	0	0	0	0
251	NS	18.0	14.9	0.510	A	0.194	27.161	29.430	1	1	0	1	1	1	1	1	1	1	1
253	NS	15.2	14.0	0.517	A	0.132	26.991	27.290	0	0	0	1	0	1	0	1	0	0	0
254	NS	15.3	14.1	0.517	C	0.134	27.623	25.040	0	0	0	0	0	0	0	0	0	1	0
255	BI	7.8	12.7	0.509	B	0.031	27.241	23.790	0	0	0	0	0	1	0	0	0	0	0
256	BI	10.0	12.7	0.486	B	0.048	27.045	23.510	0	0	0	0	0	1	0	0	1	0	0
257	NS	10.4	12.0	0.528	C	0.054	28.278	21.120	0	0	0	0	0	0	0	0	0	0	0
258	NS	13.7	13.5	0.520	B	0.103	27.583	20.820	1	1	0	0	1	1	0	0	0	0	0
259	NS	11.8	12.7	0.525	B	0.073	27.784	20.700	1	0	0	0	1	0	0	0	0	0	0
260	NS	7.0	9.9	0.541	C	0.021	27.499	19.680	0	0	0	0	0	0	0	0	0	0	0
261	BI	6.7	11.3	0.517	A	0.021	27.828	17.640	0	0	0	0	0	0	0	0	0	0	0
262	NS	16.2	14.4	0.515	A	0.153	27.142	16.600	0	1	1	1	0	0	0	0	1	0	0
264	NS	17.3	14.7	0.512	A	0.177	27.169	14.710	1	0	0	1	0	0	0	0	0	0	1
266	NS	11.2	12.4	0.526	C	0.064	27.197	12.710	0	0	0	0	0	1	0	0	1	0	0
267	BI	7.0	12.5	0.519	B	0.025	28.400	12.510	0	0	0	0	0	0	0	0	0	0	0
270	NS	15.1	14.0	0.517	C	0.130	27.768	7.700	0	0	1	1	0	1	1	1	1	1	1
271	BI	7.0	11.8	0.515	C	0.023	27.082	6.690	0	0	0	0	0	0	0	0	0	0	0
272	NS	17.2	14.7	0.512	A	0.175	27.292	6.040	1	1	0	0	0	0	0	0	0	0	0
273	NS	9.5	11.5	0.531	B	0.043	27.528	3.490	0	0	0	0	0	1	0	0	0	0	0
274	NS	7.8	10.5	0.537	B	0.027	27.330	3.340	0	0	0	0	0	0	0	0	0	0	0
275	NS	12.2	12.9	0.524	B	0.079	27.655	1.560	1	0	0	0	0	0	0	0	0	0	0
276	NS	14.8	13.9	0.518	C	0.124	27.355	1.550	1	0	0	0	0	0	0	0	0	0	0
277	NS	14.0	13.6	0.520	B	0.109	28.974	1.620	0	0	0	0	0	0	0	0	1	1	0
278	NS	13.1	13.2	0.522	C	0.093	29.140	3.090	1	0	0	0	0	0	0	0	0	0	0
279	NS	10.2	11.9	0.529	A	0.051	29.323	3.850	0	0	0	0	0	1	0	0	0	0	0
280	NS	15.1	14.0	0.517	C	0.130	29.273	6.000	0	0	1	0	1	0	0	1	1	0	0
281	NS	17.1	14.7	0.512	B	0.173	29.128	7.960	0	1	0	0	0	0	0	0	0	0	0
282	NS	17.2	14.7	0.512	B	0.175	29.183	9.910	1	1	1	1	1	1	1	1	1	1	0
284	BI	5.9	8.3	0.514	C	0.012	29.783	14.240	0	0	0	0	0	0	0	0	0	0	0
285	NS	18.2	15.0	0.510	B	0.199	29.110	17.380	0	0	0	0	0	0	0	0	0	0	0
288	NS	9.7	11.6	0.530	A	0.046	28.686	22.740	0	0	0	0	0	0	0	0	0	0	0
289	NS	8.3	10.8	0.535	B	0.031	28.746	24.500	0	0	0	0	0	0	0	0	0	0	0
290	NS	6.2	9.2	0.546	B	0.015	28.843	24.610	0	0	0	0	0	0	0	0	0	0	0
291	NS	10.9	12.3	0.527	A	0.060	28.845	28.840	0	0	0	0	0	0	0	1	0	0	0
294	SP	14.7	11.7	0.511	C	0.102	28.053	32.820	0	0	0	0	0	0	0	1	0	1	0
295	NS	14.6	13.8	0.518	A	0.120	28.233	33.700	0	0	0	0	0	0	0	0	0	0	0
296	NS	10.4	12.0	0.528	B	0.054	28.217	34.395	0	0	0	0	0	0	0	1	0	0	0
297	NS	6.7	9.6	0.543	A	0.018	29.760	35.300	0	0	0	0	0	0	0	0	0	0	0
299	NS	14.7	13.9	0.518	B	0.122	30.243	32.900	0	0	0	0	0	0	0	0	0	0	0
300	NS	11.6	12.6	0.525	B	0.070	30.043	32.900	0	0	0	0	0	0	0	0	0	0	0
301	NS	13.3	13.3	0.521	B	0.096	30.553	29.700	0	1	0	0	1	1	0	1	1	0	1
302	NS	11.9	12.7	0.525	B	0.074	30.350	29.800	1	1	0	0	1	0	0	1	1	0	1
303	NS	26.1	16.9	0.489	B	0.443	30.826	27.600	0	0	0	0	0	0	0	0	0	0	1
306	NS	13.3	13.3	0.521	A	0.096	30.677	23.200	0	0	0	0	0	0	0	0	0	0	0
307	NS	13.1	13.2	0.522	A	0.093	31.026	21.800	0	0	0	0	0	1	1	1	0	0	1
308	SP	8.8	13.1	0.517	C	0.041	31.170	20.500	0	0	0	0	0	0	0	0	1	0	0
309	NS	14.7	13.9	0.518	B	0.122	31.194	19.800	1	0	0	0	1	1	0	0	0	0	0
310	NS	18.7	15.2	0.509	B	0.212	31.432	15.800	0	1	1	0	1	1	0	1	0	1	1
311	NS	13.9	13.6	0.520	C	0.107	31.546	12.500	0	1	0	0	0	1	0	0	1	0	0
312	NS	21.4	15.9	0.502	A	0.287	31.412	10.600	0	0	0	1	0	0	0	0	0	0	0
313	NS	8.4	10.9	0.534	B	0.032	31.408	7.800	0	0	0	0	0	0	0	0	0	0	0
314	NS	18.2	15.0	0.510	C	0.199	31.270	6.000	1	1	0	1	0	0	0	0	0	0	1
